,iob_tagged_data,intent,sentence,hindi,Tagged_Sentences
1330,what:O aircraft:O is:O co:B-airline_code 1209:B-flight_number,atis_aircraft,what aircraft is co 1209,CO 1209 कौन सा विमान है,CO:O 1209:B-flight_number कौन:O सा:O विमान:O है:O
1331,show:O me:O one:B-round_trip way:I-round_trip flights:O from:O milwaukee:B-fromloc.city_name to:O orlando:B-toloc.city_name,atis_flight,show me one way flights from milwaukee to orlando,मुझे मिल्वौकी से ऑरलैंडो के लिए एकतरफ़ा उड़ानें दिखाएं,मुझे:O मिल्वौकी:O से:O ऑरलैंडो:B-fromloc.city_name के:O लिए:O एकतरफ़ा:O उड़ानें:O दिखाएं:O
1332,okay:O i'm:O looking:O for:O a:O flight:O from:O tampa:B-fromloc.city_name to:O st.:B-toloc.city_name louis:I-toloc.city_name leaving:O before:B-depart_time.time_relative 10:B-depart_time.time am:I-depart_time.time any:O day:O,atis_flight,okay i'm looking for a flight from tampa to st. louis leaving before 10 am any day,"ठीक है, मैं टाम्पा से सेंट तक की उड़ान तलाश रहा हूँ। ","ठीक:O है,:O मैं:O टाम्पा:O से:O सेंट:O तक:O की:O उड़ान:O तलाश:O रहा:O हूँ।:O"
1333,is:O there:O ground:O transportation:O in:O dallas:B-city_name from:O the:O dallas:B-fromloc.airport_name airport:I-fromloc.airport_name to:O downtown:O dallas:B-toloc.city_name,atis_ground_service,is there ground transportation in dallas from the dallas airport to downtown dallas,क्या डलास में डलास हवाई अड्डे से डाउनटाउन डलास तक जमीनी परिवहन है,क्या:O डलास:B-stoploc.city_name में:O डलास:B-stoploc.city_name हवाई:O अड्डे:O से:O डाउनटाउन:O डलास:B-stoploc.city_name तक:O जमीनी:O परिवहन:O है:O
1334,list:O the:O morning:B-depart_time.period_of_day flights:O between:O atlanta:B-fromloc.city_name and:O dallas:B-toloc.city_name,atis_flight,list the morning flights between atlanta and dallas,अटलांटा और डलास के बीच सुबह की उड़ानों की सूची बनाएं,अटलांटा:B-toloc.city_name और:O डलास:B-stoploc.city_name के:O बीच:O सुबह:B-depart_time.period_of_day की:O उड़ानों:O की:O सूची:O बनाएं:O
1335,all:O flights:O from:O dallas:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name,atis_flight,all flights from dallas to san francisco,डलास से सैन फ्रांसिस्को के लिए सभी उड़ानें,डलास:B-stoploc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name के:O लिए:O सभी:O उड़ानें:O
1336,what:O ground:O transportation:O is:O available:O in:O denver:B-city_name,atis_ground_service,what ground transportation is available in denver,डेनवर में कौन सा जमीनी परिवहन उपलब्ध है?,डेनवर:B-toloc.city_name में:O कौन:O सा:O जमीनी:O परिवहन:O उपलब्ध:O है?:O
1337,us:B-airline_name air:I-airline_name flights:O departing:O from:O charlotte:B-fromloc.city_name around:B-depart_time.time_relative 1:B-depart_time.time pm:I-depart_time.time,atis_flight,us air flights departing from charlotte around 1 pm,अमेरिकी हवाई उड़ानें दोपहर 1 बजे के आसपास चार्लोट से प्रस्थान कर रही हैं,अमेरिकी:B-airline_name हवाई:O उड़ानें:O दोपहर:B-depart_time.period_of_day 1:B-arrive_time.time बजे:I-depart_time.time के:O आसपास:O चार्लोट:O से:O प्रस्थान:O कर:O रही:O हैं:O
1338,list:O flights:O from:O san:B-fromloc.city_name francisco:I-fromloc.city_name to:O pittsburgh:B-toloc.city_name,atis_flight,list flights from san francisco to pittsburgh,सैन फ्रांसिस्को से पिट्सबर्ग तक की उड़ानों की सूची बनाएं,सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name से:O पिट्सबर्ग:B-fromloc.city_name तक:O की:O उड़ानों:O की:O सूची:O बनाएं:O
1339,show:O me:O all:O flights:O on:O southwest:B-airline_name airlines:I-airline_name from:O san:B-fromloc.city_name diego:I-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name,atis_flight,show me all flights on southwest airlines from san diego to san francisco,मुझे सैन डिएगो से सैन फ्रांसिस्को तक दक्षिण पश्चिम एयरलाइंस की सभी उड़ानें दिखाओ,मुझे:O सैन:B-toloc.city_name डिएगो:I-toloc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name तक:O दक्षिण:O पश्चिम:I-airline_name एयरलाइंस:I-airline_name की:O सभी:O उड़ानें:O दिखाओ:O
1340,list:O all:O nonstop:B-flight_stop flights:O from:O los:B-fromloc.city_name angeles:I-fromloc.city_name to:O pittsburgh:B-toloc.city_name which:O arrive:O before:B-arrive_time.time_relative 5:B-arrive_time.time pm:I-arrive_time.time on:O tuesday:B-arrive_date.day_name,atis_flight,list all nonstop flights from los angeles to pittsburgh which arrive before 5 pm on tuesday,लॉस एंजिल्स से पिट्सबर्ग के लिए सभी नॉनस्टॉप उड़ानों की सूची बनाएं जो मंगलवार शाम 5 बजे से पहले पहुंचती हैं,लॉस:B-toloc.city_name एंजिल्स:I-toloc.city_name से:O पिट्सबर्ग:B-fromloc.city_name के:O लिए:O सभी:O नॉनस्टॉप:O उड़ानों:O की:O सूची:O बनाएं:O जो:O मंगलवार:B-depart_date.day_name शाम:B-depart_time.period_of_day 5:B-arrive_time.time बजे:I-depart_time.time से:O पहले:B-depart_time.time_relative पहुंचती:O हैं:O
1341,what:O are:O the:O most:B-cost_relative expensive:I-cost_relative first:B-class_type class:I-class_type tickets:O between:O boston:B-fromloc.city_name and:O san:B-toloc.city_name francisco:I-toloc.city_name,atis_airfare,what are the most expensive first class tickets between boston and san francisco,बोस्टन और सैन फ्रांसिस्को के बीच सबसे महंगे प्रथम श्रेणी टिकट कौन से हैं?,बोस्टन:B-fromloc.city_name और:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name के:O बीच:O सबसे:O महंगे:O प्रथम:O श्रेणी:O टिकट:O कौन:O से:O हैं?:O
1342,i'd:O like:O to:O know:O the:O earliest:B-flight_mod flights:O from:O boston:B-fromloc.city_name to:O atlanta:B-toloc.city_name georgia:B-toloc.state_name,atis_flight,i'd like to know the earliest flights from boston to atlanta georgia,मैं बोस्टन से अटलांटा जॉर्जिया के लिए शुरुआती उड़ानें जानना चाहता हूं,मैं:O बोस्टन:B-fromloc.city_name से:O अटलांटा:B-toloc.city_name जॉर्जिया:B-toloc.state_name के:O लिए:O शुरुआती:O उड़ानें:O जानना:O चाहता:O हूं:O
1343,show:O me:O the:O flights:O from:O baltimore:B-fromloc.city_name to:O seattle:B-toloc.city_name,atis_flight,show me the flights from baltimore to seattle,मुझे बाल्टीमोर से सिएटल तक की उड़ानें दिखाओ,मुझे:O बाल्टीमोर:B-fromloc.city_name से:O सिएटल:B-toloc.city_name तक:O की:O उड़ानें:O दिखाओ:O
1344,how:O many:O airports:O does:O oakland:B-city_name have:O,atis_quantity,how many airports does oakland have,ओकलैंड में कितने हवाई अड्डे हैं?,ओकलैंड:B-toloc.city_name में:O कितने:O हवाई:O अड्डे:O हैं?:O
1345,i:O want:O to:O depart:O washington:B-fromloc.city_name april:B-depart_date.month_name twentieth:B-depart_date.day_number to:O atlanta:B-toloc.city_name least:B-cost_relative expensive:I-cost_relative fare:O,atis_flight,i want to depart washington april twentieth to atlanta least expensive fare,मैं वाशिंगटन से 20 अप्रैल को अटलांटा के लिए कम से कम किराये पर प्रस्थान करना चाहता हूँ,मैं:O वाशिंगटन:B-toloc.city_name से:O 20:I-restriction_code अप्रैल:B-depart_date.month_name को:O अटलांटा:B-toloc.city_name के:O लिए:O कम:B-cost_relative से:O कम:B-cost_relative किराये:B-transport_type पर:O प्रस्थान:O करना:O चाहता:O हूँ:O
1346,show:O me:O the:O earliest:B-flight_mod flights:O from:O boston:B-fromloc.city_name to:O denver:B-toloc.city_name on:O wednesday:B-depart_date.day_name,atis_flight,show me the earliest flights from boston to denver on wednesday,मुझे बुधवार को बोस्टन से डेनवर के लिए शुरुआती उड़ानें दिखाएं,मुझे:O बुधवार:B-depart_date.day_name को:O बोस्टन:B-fromloc.city_name से:O डेनवर:B-toloc.city_name के:O लिए:O शुरुआती:O उड़ानें:O दिखाएं:O
1347,what:O are:O the:O latest:B-flight_mod flights:O from:O boston:B-fromloc.city_name to:O dallas:B-toloc.city_name on:O the:O evening:B-depart_time.period_of_day of:O july:B-depart_date.month_name seventh:B-depart_date.day_number,atis_flight,what are the latest flights from boston to dallas on the evening of july seventh,सात जुलाई की शाम को बोस्टन से डलास के लिए नवीनतम उड़ानें क्या हैं?,सात:B-depart_date.day_number जुलाई:B-arrive_date.month_name की:O शाम:B-depart_time.period_of_day को:O बोस्टन:B-fromloc.city_name से:O डलास:B-stoploc.city_name के:O लिए:O नवीनतम:B-flight_mod उड़ानें:O क्या:O हैं?:O
1348,what:O are:O the:O coach:B-class_type fares:O from:O la:B-fromloc.city_name to:O charlotte:B-toloc.city_name monday:B-depart_date.day_name morning:B-depart_time.period_of_day,atis_airfare,what are the coach fares from la to charlotte monday morning,सोमवार सुबह ला से चार्लोट तक कोच का किराया क्या है?,सोमवार:B-depart_date.day_name सुबह:B-depart_time.period_of_day ला:B-fromloc.airport_name से:O चार्लोट:O तक:O कोच:O का:O किराया:I-transport_type क्या:O है?:O
1349,i:O need:O the:O cheapest:B-cost_relative direct:B-connect flight:O from:O atlanta:B-fromloc.city_name to:O denver:B-toloc.city_name leaving:O on:O may:B-depart_date.month_name seventh:B-depart_date.day_number,atis_flight,i need the cheapest direct flight from atlanta to denver leaving on may seventh,मुझे सात मई को अटलांटा से डेनवर के लिए सबसे सस्ती सीधी उड़ान चाहिए,मुझे:O सात:B-depart_date.day_number मई:B-depart_date.month_name को:O अटलांटा:B-toloc.city_name से:O डेनवर:B-toloc.city_name के:O लिए:O सबसे:O सस्ती:O सीधी:O उड़ान:O चाहिए:O
1350,are:O there:O any:O flights:O from:O atlanta:B-fromloc.city_name to:O denver:B-toloc.city_name,atis_flight,are there any flights from atlanta to denver,क्या अटलांटा से डेनवर के लिए कोई उड़ानें हैं?,क्या:O अटलांटा:B-toloc.city_name से:O डेनवर:B-toloc.city_name के:O लिए:O कोई:O उड़ानें:O हैं?:O
1351,show:O me:O flights:O from:O philadelphia:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name on:O wednesdays:B-depart_date.day_name,atis_flight,show me flights from philadelphia to san francisco on wednesdays,मुझे बुधवार को फिलाडेल्फिया से सैन फ्रांसिस्को के लिए उड़ानें दिखाओ,मुझे:O बुधवार:B-depart_date.day_name को:O फिलाडेल्फिया:O से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name के:O लिए:O उड़ानें:O दिखाओ:O
1352,show:O me:O all:O flights:O to:O philadelphia:B-toloc.city_name in:O the:O evening:B-depart_time.period_of_day,atis_flight,show me all flights to philadelphia in the evening,मुझे शाम को फ़िलाडेल्फ़िया की सभी उड़ानें दिखाओ,मुझे:O शाम:B-depart_time.period_of_day को:O फ़िलाडेल्फ़िया:B-fromloc.city_name की:O सभी:O उड़ानें:O दिखाओ:O
1353,show:O me:O all:O flights:O from:O atlanta:B-fromloc.city_name to:O washington:B-toloc.city_name with:O prices:O,atis_flight,show me all flights from atlanta to washington with prices,मुझे कीमतों के साथ अटलांटा से वाशिंगटन तक की सभी उड़ानें दिखाओ,मुझे:O कीमतों:O के:O साथ:O अटलांटा:B-toloc.city_name से:O वाशिंगटन:B-toloc.city_name तक:O की:O सभी:O उड़ानें:O दिखाओ:O
1354,i'd:O like:O to:O go:O from:O st.:B-fromloc.city_name paul:I-fromloc.city_name to:O kansas:B-toloc.city_name city:I-toloc.city_name on:O friday:B-depart_date.day_name with:O a:O meal:B-meal,atis_flight,i'd like to go from st. paul to kansas city on friday with a meal,मैं सेंट से जाना चाहूँगा. ,मैं:O सेंट:O से:O जाना:O चाहूँगा.:O
1355,what:O are:O the:O flights:O from:O denver:B-fromloc.city_name to:O oakland:B-toloc.city_name,atis_flight,what are the flights from denver to oakland,डेनवर से ओकलैंड के लिए कौन सी उड़ानें हैं?,डेनवर:B-toloc.city_name से:O ओकलैंड:B-toloc.city_name के:O लिए:O कौन:O सी:B-fare_basis_code उड़ानें:O हैं?:O
1356,i'm:O sorry:O i:O wanted:O to:O fly:O twa:B-airline_code is:O there:O a:O flight:O between:O oakland:B-fromloc.city_name and:O boston:B-toloc.city_name with:O a:O stopover:O in:O dallas:B-stoploc.city_name fort:I-stoploc.city_name worth:I-stoploc.city_name on:O twa:B-airline_code,atis_flight,i'm sorry i wanted to fly twa is there a flight between oakland and boston with a stopover in dallas fort worth on twa,"मुझे खेद है कि मैं टीडब्ल्यूए से उड़ान भरना चाहता था, क्या ओकलैंड और बोस्टन के बीच डलास फोर्ट में स्टॉपओवर के साथ टीडब्ल्यूए के लायक कोई उड़ान है?","मुझे:O खेद:O है:O कि:O मैं:O टीडब्ल्यूए:O से:O उड़ान:O भरना:O चाहता:O था,:O क्या:O ओकलैंड:B-toloc.city_name और:O बोस्टन:B-fromloc.city_name के:O बीच:O डलास:B-stoploc.city_name फोर्ट:O में:O स्टॉपओवर:O के:O साथ:O टीडब्ल्यूए:O के:O लायक:I-toloc.city_name कोई:O उड़ान:O है?:O"
1357,show:O me:O all:O flights:O that:O depart:O from:O san:B-fromloc.city_name francisco:I-fromloc.city_name and:O go:O to:O either:O boston:B-toloc.city_name philadelphia:B-toloc.city_name or:O baltimore:B-toloc.city_name,atis_flight,show me all flights that depart from san francisco and go to either boston philadelphia or baltimore,"मुझे वे सभी उड़ानें दिखाएं जो सैन फ्रांसिस्को से प्रस्थान करती हैं और बोस्टन, फिलाडेल्फिया या बाल्टीमोर जाती हैं","मुझे:O वे:O सभी:O उड़ानें:O दिखाएं:O जो:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name से:O प्रस्थान:O करती:O हैं:O और:O बोस्टन,:O फिलाडेल्फिया:O या:O बाल्टीमोर:B-fromloc.city_name जाती:O हैं:O"
1358,show:O me:O a:O list:O of:O all:O the:O airlines:O that:O offer:O business:B-class_type class:I-class_type service:O,atis_airline,show me a list of all the airlines that offer business class service,मुझे उन सभी एयरलाइनों की सूची दिखाओ जो बिजनेस क्लास सेवा प्रदान करती हैं,मुझे:O उन:O सभी:O एयरलाइनों:O की:O सूची:O दिखाओ:O जो:O बिजनेस:O क्लास:O सेवा:O प्रदान:O करती:O हैं:O
1359,ground:O transportation:O in:O san:B-city_name jose:I-city_name,atis_ground_service,ground transportation in san jose,सैन जोस में जमीनी परिवहन,सैन:B-toloc.city_name जोस:I-toloc.city_name में:O जमीनी:O परिवहन:O
1360,show:O me:O all:O the:O flights:O that:O arrive:O in:O baltimore:B-toloc.city_name from:O anywhere:O between:O 1850:B-arrive_time.start_time and:O midnight:B-arrive_time.period_of_day,atis_flight,show me all the flights that arrive in baltimore from anywhere between 1850 and midnight,मुझे 1850 से आधी रात के बीच कहीं से भी बाल्टीमोर आने वाली सभी उड़ानें दिखाओ,मुझे:O 1850:B-arrive_time.start_time से:O आधी:O रात:B-depart_time.period_of_day के:O बीच:O कहीं:O से:O भी:O बाल्टीमोर:B-fromloc.city_name आने:O वाली:O सभी:O उड़ानें:O दिखाओ:O
1361,give:O me:O flights:O without:O fares:O from:O atlanta:B-fromloc.city_name to:O baltimore:B-toloc.city_name,atis_flight,give me flights without fares from atlanta to baltimore,मुझे अटलांटा से बाल्टीमोर तक बिना किराये वाली उड़ानें दीजिए,मुझे:O अटलांटा:B-toloc.city_name से:O बाल्टीमोर:B-fromloc.city_name तक:O बिना:O किराये:B-transport_type वाली:O उड़ानें:O दीजिए:O
1362,show:O me:O the:O flights:O from:O baltimore:B-fromloc.city_name to:O oakland:B-toloc.city_name,atis_flight,show me the flights from baltimore to oakland,मुझे बाल्टीमोर से ओकलैंड तक की उड़ानें दिखाओ,मुझे:O बाल्टीमोर:B-fromloc.city_name से:O ओकलैंड:B-toloc.city_name तक:O की:O उड़ानें:O दिखाओ:O
1363,show:O me:O the:O flights:O arriving:O at:O love:B-toloc.airport_name field:I-toloc.airport_name,atis_flight,show me the flights arriving at love field,मुझे प्रेम क्षेत्र में आने वाली उड़ानें दिखाओ,मुझे:O प्रेम:O क्षेत्र:O में:O आने:O वाली:O उड़ानें:O दिखाओ:O
1364,list:O the:O flights:O from:O denver:B-fromloc.city_name to:O baltimore:B-toloc.city_name,atis_flight,list the flights from denver to baltimore,डेनवर से बाल्टीमोर तक की उड़ानें सूचीबद्ध करें,डेनवर:B-toloc.city_name से:O बाल्टीमोर:B-fromloc.city_name तक:O की:O उड़ानें:O सूचीबद्ध:O करें:O
1365,can:O you:O please:O tell:O me:O the:O type:O of:O aircraft:O used:O flying:O from:O atlanta:B-fromloc.city_name to:O denver:B-toloc.city_name on:O eastern:B-airline_name flight:O 825:B-flight_number leaving:O at:O 555:B-depart_time.time,atis_aircraft,can you please tell me the type of aircraft used flying from atlanta to denver on eastern flight 825 leaving at 555,क्या आप कृपया मुझे बता सकते हैं कि 555 पर प्रस्थान करने वाली पूर्वी उड़ान 825 में अटलांटा से डेनवर तक उड़ान भरने के लिए किस प्रकार के विमान का उपयोग किया गया था?,क्या:O आप:O कृपया:O मुझे:O बता:O सकते:O हैं:O कि:O 555:B-depart_time.time पर:O प्रस्थान:O करने:O वाली:O पूर्वी:O उड़ान:O 825:B-flight_number में:O अटलांटा:B-toloc.city_name से:O डेनवर:B-toloc.city_name तक:O उड़ान:O भरने:O के:O लिए:O किस:O प्रकार:O के:O विमान:O का:O उपयोग:O किया:O गया:O था?:O
1366,can:O you:O show:O me:O the:O price:O of:O a:O flight:O to:O washington:B-toloc.city_name from:O atlanta:B-fromloc.city_name on:O thursday:B-depart_date.day_name morning:B-depart_time.period_of_day,atis_airfare,can you show me the price of a flight to washington from atlanta on thursday morning,क्या आप मुझे गुरुवार सुबह अटलांटा से वाशिंगटन की उड़ान का किराया दिखा सकते हैं,क्या:O आप:O मुझे:O गुरुवार:B-depart_date.day_name सुबह:B-depart_time.period_of_day अटलांटा:B-toloc.city_name से:O वाशिंगटन:B-toloc.city_name की:O उड़ान:O का:O किराया:I-transport_type दिखा:O सकते:O हैं:O
1367,what:O is:O fare:O code:O h:B-fare_basis_code,atis_abbreviation,what is fare code h,किराया कोड क्या है एच,किराया:I-transport_type कोड:O क्या:O है:O एच:B-fare_basis_code
1368,i:O would:O like:O to:O leave:O early:B-depart_time.period_mod in:O the:O morning:B-depart_time.period_of_day,atis_flight,i would like to leave early in the morning,मैं सुबह जल्दी निकलना चाहूँगा,मैं:O सुबह:B-depart_time.period_of_day जल्दी:B-depart_time.period_of_day निकलना:O चाहूँगा:O
1369,show:O me:O the:O flights:O from:O philadelphia:B-fromloc.city_name to:O baltimore:B-toloc.city_name in:O the:O morning:B-depart_time.period_of_day,atis_flight,show me the flights from philadelphia to baltimore in the morning,मुझे सुबह फिलाडेल्फिया से बाल्टीमोर तक की उड़ानें दिखाओ,मुझे:O सुबह:B-depart_time.period_of_day फिलाडेल्फिया:O से:O बाल्टीमोर:B-fromloc.city_name तक:O की:O उड़ानें:O दिखाओ:O
1370,show:O me:O the:O flights:O into:O love:B-toloc.airport_name field:I-toloc.airport_name,atis_flight,show me the flights into love field,मुझे प्रेम क्षेत्र में उड़ान दिखाओ,मुझे:O प्रेम:O क्षेत्र:O में:O उड़ान:O दिखाओ:O
1371,could:O i:O have:O listings:O of:O flights:O from:O new:B-fromloc.city_name york:I-fromloc.city_name to:O montreal:B-toloc.city_name canada:B-toloc.country_name leaving:O on:O wednesday:B-depart_date.day_name,atis_flight,could i have listings of flights from new york to montreal canada leaving on wednesday,क्या मुझे बुधवार को न्यूयॉर्क से मॉन्ट्रियल कनाडा जाने वाली उड़ानों की सूची मिल सकती है,क्या:O मुझे:O बुधवार:B-depart_date.day_name को:O न्यूयॉर्क:O से:O मॉन्ट्रियल:B-fromloc.city_name कनाडा:B-toloc.country_name जाने:O वाली:O उड़ानों:O की:O सूची:O मिल:O सकती:O है:O
1372,show:O me:O all:O the:O direct:B-connect flights:O from:O baltimore:B-fromloc.city_name to:O atlanta:B-toloc.city_name,atis_flight,show me all the direct flights from baltimore to atlanta,मुझे बाल्टीमोर से अटलांटा तक की सभी सीधी उड़ानें दिखाओ,मुझे:O बाल्टीमोर:B-fromloc.city_name से:O अटलांटा:B-toloc.city_name तक:O की:O सभी:O सीधी:O उड़ानें:O दिखाओ:O
1373,from:O denver:B-fromloc.city_name to:O baltimore:B-toloc.city_name,atis_flight,from denver to baltimore,डेनवर से बाल्टीमोर तक,डेनवर:B-toloc.city_name से:O बाल्टीमोर:B-fromloc.city_name तक:O
1374,show:O me:O ground:O transportation:O in:O boston:B-city_name,atis_ground_service,show me ground transportation in boston,मुझे बोस्टन में जमीनी परिवहन दिखाओ,मुझे:O बोस्टन:B-fromloc.city_name में:O जमीनी:O परिवहन:O दिखाओ:O
1375,give:O me:O a:O list:O of:O flights:O between:O pittsburgh:B-fromloc.city_name and:O baltimore:B-toloc.city_name,atis_flight,give me a list of flights between pittsburgh and baltimore,मुझे पिट्सबर्ग और बाल्टीमोर के बीच उड़ानों की एक सूची दें,मुझे:O पिट्सबर्ग:B-fromloc.city_name और:O बाल्टीमोर:B-fromloc.city_name के:O बीच:O उड़ानों:O की:O एक:O सूची:O दें:O
1376,what:O is:O the:O cheapest:B-cost_relative ticket:O from:O baltimore:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name on:O friday:B-depart_date.day_name august:B-depart_date.month_name thirtieth:B-depart_date.day_number,atis_airfare,what is the cheapest ticket from baltimore to san francisco on friday august thirtieth,"शुक्रवार, तीस अगस्त को बाल्टीमोर से सैन फ्रांसिस्को तक का सबसे सस्ता टिकट कौन सा है?","शुक्रवार,:O तीस:B-depart_date.day_number अगस्त:B-depart_date.month_name को:O बाल्टीमोर:B-fromloc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name तक:O का:O सबसे:O सस्ता:O टिकट:O कौन:O सा:O है?:O"
1377,what:O is:O the:O earliest:B-flight_mod flight:O leaving:O boston:B-fromloc.city_name and:O going:O to:O washington:B-toloc.city_name on:O september:B-depart_date.month_name third:B-depart_date.day_number,atis_flight,what is the earliest flight leaving boston and going to washington on september third,3 सितंबर को बोस्टन से रवाना होकर वाशिंगटन जाने वाली सबसे पहली उड़ान कौन सी है?,3:B-depart_time.time सितंबर:O को:O बोस्टन:B-fromloc.city_name से:O रवाना:O होकर:O वाशिंगटन:B-toloc.city_name जाने:O वाली:O सबसे:O पहली:O उड़ान:O कौन:O सी:B-fare_basis_code है?:O
1378,looking:O for:O a:O flight:O from:O toronto:B-fromloc.city_name to:O san:B-toloc.city_name diego:I-toloc.city_name,atis_flight,looking for a flight from toronto to san diego,टोरंटो से सैन डिएगो के लिए उड़ान खोज रहा हूँ,टोरंटो:B-fromloc.city_name से:O सैन:B-toloc.city_name डिएगो:I-toloc.city_name के:O लिए:O उड़ान:O खोज:O रहा:O हूँ:O
1379,what:O is:O the:O cheapest:B-cost_relative flight:O on:O american:B-airline_name airlines:I-airline_name from:O cleveland:B-fromloc.city_name to:O miami:B-toloc.city_name,atis_flight,what is the cheapest flight on american airlines from cleveland to miami,क्लीवलैंड से मियामी तक अमेरिकी एयरलाइंस की सबसे सस्ती उड़ान कौन सी है?,क्लीवलैंड:B-toloc.city_name से:O मियामी:B-fromloc.city_name तक:O अमेरिकी:B-airline_name एयरलाइंस:I-airline_name की:O सबसे:O सस्ती:O उड़ान:O कौन:O सी:B-fare_basis_code है?:O
1380,list:O the:O cheapest:B-cost_relative round:B-round_trip trip:I-round_trip flights:O from:O orlando:B-fromloc.city_name to:O kansas:B-toloc.city_name city:I-toloc.city_name,atis_flight,list the cheapest round trip flights from orlando to kansas city,ऑरलैंडो से कैनसस सिटी के लिए सबसे सस्ती राउंड ट्रिप उड़ानों की सूची बनाएं,ऑरलैंडो:B-fromloc.city_name से:O कैनसस:O सिटी:O के:O लिए:O सबसे:O सस्ती:O राउंड:O ट्रिप:O उड़ानों:O की:O सूची:O बनाएं:O
1381,show:O me:O the:O flights:O from:O dallas:B-fromloc.city_name to:O boston:B-toloc.city_name,atis_flight,show me the flights from dallas to boston,मुझे डलास से बोस्टन तक की उड़ानें दिखाओ,मुझे:O डलास:B-stoploc.city_name से:O बोस्टन:B-fromloc.city_name तक:O की:O उड़ानें:O दिखाओ:O
1382,how:O much:O is:O a:O flight:O from:O washington:B-fromloc.city_name to:O montreal:B-toloc.city_name,atis_airfare,how much is a flight from washington to montreal,वाशिंगटन से मॉन्ट्रियल तक की उड़ान का किराया कितना है?,वाशिंगटन:B-toloc.city_name से:O मॉन्ट्रियल:B-fromloc.city_name तक:O की:O उड़ान:O का:O किराया:I-transport_type कितना:O है?:O
1383,i:O want:O the:O cheapest:B-cost_relative flight:O from:O pittsburgh:B-fromloc.city_name to:O atlanta:B-toloc.city_name,atis_flight,i want the cheapest flight from pittsburgh to atlanta,मैं पिट्सबर्ग से अटलांटा के लिए सबसे सस्ती उड़ान चाहता हूँ,मैं:O पिट्सबर्ग:B-fromloc.city_name से:O अटलांटा:B-toloc.city_name के:O लिए:O सबसे:O सस्ती:O उड़ान:O चाहता:O हूँ:O
1384,what:O are:O the:O evening:B-depart_time.period_of_day flights:O from:O atlanta:B-fromloc.city_name to:O baltimore:B-toloc.city_name,atis_flight,what are the evening flights from atlanta to baltimore,अटलांटा से बाल्टीमोर के लिए शाम की उड़ानें क्या हैं?,अटलांटा:B-toloc.city_name से:O बाल्टीमोर:B-fromloc.city_name के:O लिए:O शाम:B-depart_time.period_of_day की:O उड़ानें:O क्या:O हैं?:O
1385,how:O many:O united:B-airline_name flights:O are:O there:O from:O san:B-fromloc.city_name francisco:I-fromloc.city_name please:O,atis_quantity,how many united flights are there from san francisco please,कृपया सैन फ्रांसिस्को से यूनाइटेड की कितनी उड़ानें हैं?,कृपया:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name से:O यूनाइटेड:B-airline_name की:O कितनी:O उड़ानें:O हैं?:O
1386,flight:O information:O on:O january:B-depart_date.month_name twenty:B-depart_date.day_number third:I-depart_date.day_number from:O denver:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name,atis_flight,flight information on january twenty third from denver to san francisco,तेईस जनवरी को डेनवर से सैन फ्रांसिस्को के लिए उड़ान की जानकारी,तेईस:O जनवरी:B-depart_date.month_name को:O डेनवर:B-toloc.city_name से:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name के:O लिए:O उड़ान:O की:O जानकारी:O
1387,list:O the:O flights:O arriving:O in:O baltimore:B-toloc.city_name from:O denver:B-fromloc.city_name on:O august:B-arrive_date.month_name third:B-arrive_date.day_number,atis_flight,list the flights arriving in baltimore from denver on august third,3 अगस्त को डेनवर से बाल्टीमोर आने वाली उड़ानों की सूची बनाएं,3:B-depart_time.time अगस्त:B-depart_date.month_name को:O डेनवर:B-toloc.city_name से:O बाल्टीमोर:B-fromloc.city_name आने:O वाली:O उड़ानों:O की:O सूची:O बनाएं:O
1388,list:O flights:O from:O philadelphia:B-fromloc.city_name to:O san:B-toloc.city_name francisco:I-toloc.city_name via:O dallas:B-stoploc.city_name,atis_flight,list flights from philadelphia to san francisco via dallas,फिलाडेल्फिया से डलास होते हुए सैन फ्रांसिस्को तक की उड़ानों की सूची बनाएं,फिलाडेल्फिया:O से:O डलास:B-stoploc.city_name होते:O हुए:O सैन:B-toloc.city_name फ्रांसिस्को:I-toloc.city_name तक:O की:O उड़ानों:O की:O सूची:O बनाएं:O
