BOS मैं बाल्टीमोर से डलास तक की राउंड ट्रिप के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_flight
BOS क्या मुझे सोमवार को कोलंबस ओहियो से मिनियापोलिस मिनेसोटा के लिए उड़ान संख्या की सूची मिल सकती है? EOS\t	O O O O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name atis_flight_no
BOS छब्बीस जून को मिनियापोलिस से लॉन्ग बीच के लिए उड़ान संख्या EOS\t	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_flight_no
BOS मुझे फिलाडेल्फिया से डेनवर के लिए उड़ान चाहिए EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे शनिवार और रविवार को मिल्वौकी से फीनिक्स के लिए अमेरिकी एयरलाइंस दीजिए EOS\t	O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.day_name atis_flight
BOS मुझे बाल्टीमोर से डलास तक की उड़ानें दिखाओ EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे बोस्टन से डेनवर के लिए जल्द से जल्द उड़ान मिल जाएगी जो नाश्ता परोसती है EOS\t	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-meal_description atis_flight
BOS मुझे सेंट से उड़ानें दिखाओ।  EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_time.period_mod O O B-arrive_time.period_of_day atis_flight
BOS मुझे अटलांटा से डलास राउंड ट्रिप की सभी उड़ानें 1100 डॉलर से कम में दिखाएं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip B-cost_relative O B-fare_amount I-fare_amount atis_flight
BOS मैं वाशिंगटन से सैन फ्रांसिस्को तक एक राउंड ट्रिप उड़ान भरना चाहता हूं और वापस लौटना चाहता हूं EOS\t	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O atis_flight
BOS कौन सी उड़ानें लॉस एंजिल्स गंतव्य चार्लोट से प्रस्थान करती हैं जो सोमवार की सुबह प्रस्थान करती हैं EOS\t	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS डीएल 838 सैन फ्रांसिस्को से अटलांटा तक कहां रुकती है EOS\t	O B-flight_stop O B-airline_code B-flight_number O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे बोस्टन से डेनवर तक की सभी उड़ानें दिखाओ जो बुधवार को दोपहर से पहले डेनवर पहुंचती हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time atis_flight
BOS मैं अगले शुक्रवार को टोरंटो से मॉन्ट्रियल के लिए पहली उड़ान चाहूंगा EOS\t	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name atis_flight
BOS बोस्टन से सैन फ्रांसिस्को के लिए सबसे सस्ती उड़ान कौन सी है? EOS\t	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS डेनवर से ओकलैंड के लिए उड़ानें और किराए EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight;atis_airfare
BOS लॉस एंजिल्स में कौन सी लिमोज़ीन सेवा EOS\t	O B-transport_type O O B-city_name I-city_name atis_ground_service
BOS मैं शनिवार रात 9 बजे बोस्टन से डेनवर जाना चाहूँगा EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time I-depart_time.time B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS मैं सैन डिएगो से इंडियानापोलिस के लिए एक उड़ान चाहता हूँ जो मंगलवार दोपहर को रवाना हो EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS अब मैं मंगलवार की सुबह ओकलैंड नंबर से डलास फोर्ट वर्थ से अटलांटा के लिए उड़ानों का शेड्यूल चाहूंगा EOS\t	O O O O B-flight_time O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS किराया कोड एफ का क्या मतलब है EOS\t	O O O O O B-fare_basis_code O atis_abbreviation
BOS जनरल मिशेल इंटरनेशनल में उड़ान भरने वाली सभी एयरलाइनों की सूची बनाएं EOS\t	O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name atis_airline
BOS मुझे सैन फ्रांसिस्को से अटलांटा तक की उड़ानें दिखाओ EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS मेरे लिए बोस्टन से अटलांटा के लिए जल्द से जल्द उड़ान ढूंढ़ें EOS\t	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे सबसे महंगा किराया दिखाओ EOS\t	O O O B-cost_relative I-cost_relative O atis_airfare
BOS कृपया मंगलवार, डलास, अटलांटा की सभी उड़ानें सूचीबद्ध करें EOS\t	O O O O B-depart_date.day_name B-fromloc.city_name B-fromloc.city_name atis_flight
BOS क्या कोई एयरलाइन है जो बोस्टन डीसी और डलास को सेवाएं देती है EOS\t	O O O O O O B-fromloc.city_name B-fromloc.state_code O B-fromloc.city_name atis_airline
BOS मुझे कैनसस सिटी से लॉस एंजिल्स के लिए एक उड़ान चाहिए जो देर दोपहर में लॉस एंजिल्स पहुंचे EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-toloc.city_name I-toloc.city_name O O B-arrive_time.period_of_day I-arrive_time.period_of_day atis_flight
BOS बुधवार को फिलाडेल्फिया से डेनवर के लिए सभी उड़ानें क्या हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS किराया कोड क्या है एच EOS\t	O O O O B-fare_basis_code atis_abbreviation
BOS क्या मुझे मंगलवार को मिनियापोलिस से लॉन्ग बीच कैलिफ़ोर्निया तक की उड़ानों की सूची मिल सकती है EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O B-depart_date.day_name atis_flight
BOS मुझे पंद्रह सितंबर के लिए सैन फ्रांसिस्को और फिलाडेल्फिया के बीच सभी उड़ानें दिखाएं EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS मुझे गुरुवार को डेनवर से वाशिंगटन के लिए उड़ानें दिखाएँ EOS\t	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS कृपया फ़ीनिक्स से सैन डिएगो तक की उड़ानें सूचीबद्ध करें EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS मैं फिलाडेल्फिया से डलास की यात्रा कर रहा हूं EOS\t	O O O B-toloc.city_name O B-fromloc.city_name atis_flight
BOS यदि मैं फिलाडेल्फिया से डलास के लिए प्रथम श्रेणी अमेरिकन एयरलाइंस की उड़ान लूंगा तो मैं किस प्रकार के विमान से उड़ान भरूंगा? EOS\t	O O O O O O O O O O O O O B-class_type I-class_type B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS क्या आपके पास बोस्टन से फोर्ट वर्थ के लिए उड़ान है? EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS प्रतिबंध AP57 क्या है EOS\t	O O O B-restriction_code atis_restriction
BOS कृपया सुबह 9 बजे प्रस्थान करने वाली बोस्टन और डेनवर के बीच संयुक्त उड़ानों की सूची बनाएं EOS\t	O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time I-depart_time.time atis_flight
BOS पिट्सबर्ग शहर से हवाई अड्डा कितनी दूर है? EOS\t	O O O O O O O B-fromloc.city_name atis_distance
BOS मुझे फ़िलाडेल्फ़िया से अटलांटा तक की शाम की उड़ानें दिखाओ EOS\t	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS नैशविले से सिएटल तक उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS बोस्टन में हवाई अड्डे से डाउनटाउन बोस्टन तक जमीनी परिवहन EOS\t	O O O O O B-fromloc.city_name O O B-toloc.city_name atis_ground_service
BOS क्या लुफ्थांसा बोस्टन और ओकलैंड के बीच उड़ान भरती है EOS\t	O B-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS ऑरलैंडो से कैनसस सिटी के लिए राउंड ट्रिप उड़ानों की सूची बनाएं EOS\t	O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS पिट्सबर्ग से नेवार्क तक उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS क्या यूनाइटेड एयरलाइंस बोस्टन से डलास फोर्ट वर्थ तक उड़ान भरती है EOS\t	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS बुधवार की सुबह डलास से अटलांटा के लिए उड़ानें कैसी रहेंगी EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS ईडब्ल्यूआर क्या है? EOS\t	O O B-airport_code atis_abbreviation
BOS मुझे अटलांटा से बाल्टीमोर तक का किराया बताओ EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS मेरे लिए अटलांटा से बाल्टीमोर के लिए एक उड़ान ढूंढ़ें EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS डेनवर से अटलांटा तक की उड़ानों का किराया क्या है? EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS मुझे 27 दिसंबर को इंडियानापोलिस से ऑरलैंडो तक की उड़ानें और किराया बताएं EOS\t	O O O O O O O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name atis_flight;atis_airfare
BOS मुझे बाल्टीमोर से डलास तक की उड़ानों की सभी कीमतें दिखाओ EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS मुझे एयरलाइन संक्षिप्ताक्षर दिखाओ EOS\t	O O O O atis_airline
BOS मुझे टोरंटो से सभी राष्ट्रीय हवाई उड़ानें दिखाओ EOS\t	O O O B-airline_name O O B-fromloc.city_name atis_flight
BOS मुझे बाल्टीमोर के लिए शाम की उड़ानें दिखाओ EOS\t	O O B-period_of_day O O B-toloc.city_name atis_flight
BOS कृपया मुझे इंडियानापोलिस से मेम्फिस तक सभी एकतरफ़ा प्रथम श्रेणी उड़ानें दिखाएँ EOS\t	O O O O B-round_trip I-round_trip B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS क्या फिलाडेल्फिया से डलास के लिए कोई उड़ानें हैं जो अटलांटा में रुकती हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name atis_flight
BOS मुझे बाल्टीमोर से डलास तक आने-जाने का कोच का किराया दीजिए EOS\t	O O O B-round_trip I-round_trip B-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS सैन फ्रांसिस्को से वाशिंगटन के लिए नवीनतम उड़ान कौन सी है? EOS\t	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS सैन फ्रांसिस्को से अटलांटा की उड़ान जो सुबह 8 बजे से पहले रवाना होती है, क्या ऐसी कोई उड़ान है? EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O O O O O atis_flight
BOS फ़िलाडेल्फ़िया से डलास तक की सुबह की उड़ानें दिखाएँ EOS\t	O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS अब कृपया मुझे मिल्वौकी से टैकोमा के लिए टीडब्ल्यूए पर कल की नवीनतम उड़ान बताएं EOS\t	O O O O O B-flight_mod O B-depart_date.today_relative O B-airline_code O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS जनरल मिशेल इंटरनेशनल में उड़ान भरने वाली सभी उड़ानों की सूची बनाएं EOS\t	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name atis_flight
BOS क्या आप गुरुवार को ओकलैंड से साल्ट लेक सिटी के लिए शुरुआती उड़ानों की सूची बना सकते हैं? EOS\t	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_flight
BOS फ्लाइट AA 459 कितने बजे प्रस्थान करती है? EOS\t	O B-flight_time O O B-airline_code B-flight_number O atis_flight_time
BOS डेनवर हवाई अड्डे से डाउनटाउन डेनवर तक कौन सा जमीनी परिवहन उपलब्ध है EOS\t	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS ऑरलैंडो से कैनसस सिटी और फिर मिनियापोलिस तक की सभी उड़ानों की सूची बनाएं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-toloc.city_name atis_flight
BOS मैं दूसरे जून बुधवार की शाम को डेट्रॉइट से सैन डिएगो जाना चाहूँगा EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-depart_date.month_name B-depart_date.day_number atis_flight
BOS बोस्टन से ओकलैंड के लिए उड़ान यूए 281 कहाँ रुकती है? EOS\t	O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name B-flight_stop atis_flight
BOS मैं वाशिंगटन से फिलाडेल्फिया के लिए आपकी जल्द से जल्द उड़ान का समय चाहूंगा EOS\t	O O O O B-flight_time O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS मुझे डेनवर कोलोराडो से डलास टेक्सास के लिए दोपहर की उड़ान चाहिए EOS\t	O O O O B-depart_time.period_of_day O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name atis_flight
BOS पच्चीस जुलाई 1991 को पिट्सबर्ग से बाल्टीमोर के लिए कौन सी उड़ानें उपलब्ध हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number B-depart_date.year atis_flight
BOS dfw का क्या मतलब है EOS\t	O O B-airport_code O atis_abbreviation
BOS मैं 3 जून को पिट्सबर्ग से लॉस एंजिल्स के लिए एक शाम की उड़ान चाहता हूँ EOS\t	O O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS मुझे डलास के लिए 1500 डॉलर से कम राउंड ट्रिप वाली सभी उड़ानें दिखाओ EOS\t	O O O O O B-toloc.city_name O O B-cost_relative O B-fare_amount I-fare_amount B-round_trip I-round_trip atis_flight
BOS मुझे बोस्टन से डेनवर तक की सभी उड़ानें दिखाएं जो बुधवार 6 बजे से पहले डेनवर पहुंचती हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time atis_flight
BOS क्या गुरुवार को सैन फ्रांसिस्को से बोस्टन के लिए कोई नॉनस्टॉप उड़ानें हैं? EOS\t	O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-arrive_date.day_name atis_flight
BOS क्या डेनवर में हवाई अड्डे से शहर तक जमीनी परिवहन है? EOS\t	O O O O O O O O B-fromloc.city_name O O atis_ground_service
BOS डलास में जमीनी परिवहन क्या है? EOS\t	O O O O O O B-city_name atis_ground_service
BOS बाल्टीमोर से डलास तक उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS न्यूयॉर्क शहर से मॉन्ट्रियल के लिए उड़ानें EOS\t	O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS मैं जानना चाहता हूं कि इस सप्ताह शुक्रवार को अटलांटा से बोस्टन के लिए किस प्रकार का विमान रवाना होगा EOS\t	O O O O O O O O O O O O B-fromloc.city_name O O B-toloc.city_name O B-depart_date.day_name O O atis_aircraft
BOS मुझे कल शाम को नैशविले से ह्यूस्टन के लिए उड़ान चाहिए जिसमें कल का रात्रि भोज भी शामिल है EOS\t	O O O O B-depart_date.today_relative B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name O O B-meal_description O B-depart_date.today_relative atis_flight
BOS मुझे डेनवर और ओकलैंड के बीच उड़ानों की एक सूची दें EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS ठीक है, मैं बोस्टन से डेनवर तक का सबसे सस्ता एकतरफ़ा किराया ढूँढ़ना चाहता हूँ EOS\t	O O O O O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS पिट्सबर्ग से अटलांटा के लिए सबसे सस्ती उड़ानें कौन सी हैं? EOS\t	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS डेनवर से पिट्सबर्ग तक किन एयरलाइनों की उड़ानें हैं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS सैन फ्रांसिस्को और डेनवर के बीच कौन सी एयरलाइंस उड़ान भरती हैं EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airline
BOS ह्यूस्टन हवाई अड्डे EOS\t	B-city_name O atis_airport
BOS मैं पंद्रह सितंबर के लिए डलास फोर्ट वर्थ में स्टॉपओवर के साथ वाशिंगटन से ओकलैंड के लिए उड़ान लेना चाहता हूं EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS और मैं डाउनटाउन बोस्टन से बोस्टन हवाई अड्डे तक कैसे पहुँच सकता हूँ EOS\t	O O O O O O O B-toloc.airport_name I-toloc.airport_name O O B-fromloc.city_name atis_ground_service
BOS आठ सोलह पर पिट्सबर्ग से बाल्टीमोर तक उड़ान भरने वाला सबसे छोटा विमान कौन सा है? EOS\t	O O B-mod O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time O atis_aircraft
BOS अटलांटा में मुझे जमीनी परिवहन के बारे में जानकारी चाहिए EOS\t	O B-city_name O O O O O O O atis_ground_service
BOS 27 दिसंबर को इंडियानापोलिस और ऑरलैंडो के बीच सभी राउंड ट्रिप उड़ानों की सूची बनाएं EOS\t	O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_number I-depart_date.day_number O B-depart_date.month_name atis_flight
BOS मुझे मंगलवार को प्रस्थान करने वाली न्यूयॉर्क से मियामी तक की सभी यात्राएँ दिखाएँ EOS\t	O O O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name atis_flight
BOS फिलाडेल्फिया शहर में जमीनी परिवहन क्या उपलब्ध है? EOS\t	O O O O O O O O O O B-city_name atis_ground_service
BOS मैं बोस्टन से पिट्सबर्ग कैसे पहुँचूँ? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे बोस्टन से पिट्सबर्ग के लिए एक उड़ान चाहिए जो सुबह जल्दी छूट जाए EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_mod O O B-depart_time.period_of_day atis_flight
BOS मुझे सत्रह जून गुरुवार को शिकागो से कैनसस सिटी के लिए सभी उड़ानें दिखाएँ जो शाम को लगभग 7 बजे कैनसस सिटी पहुँचेंगी EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day atis_flight
BOS मुझे बाल्टीमोर से फिलाडेल्फिया तक की उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS बोस्टन से वाशिंगटन तक इकोनॉमी थ्रिफ्ट किराया क्या है EOS\t	O O O B-economy B-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS अटलांटा के लिए डेल्टा की सुबह की उड़ानों का शेड्यूल क्या है? EOS\t	O O B-airline_name B-flight_time O B-depart_time.period_of_day O O B-toloc.city_name atis_flight_time
BOS गुरुवार को अटलांटा से वाशिंगटन डीसी के लिए कौन सी उड़ानें जाती हैं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name atis_flight
BOS मैं बोस्टन और सैन फ्रांसिस्को के बीच सबसे छोटी यात्रा जानना चाहूंगा EOS\t	O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS क्या मुझे बुधवार को मिनियापोलिस से लॉन्ग बीच कैलिफ़ोर्निया तक की उड़ानों की सूची मिल सकती है EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.state_name O B-depart_date.day_name atis_flight
BOS अब मुझे फ़ीनिक्स से डेट्रॉइट के लिए मंगलवार को उड़ान चाहिए EOS\t	O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS शाम 6 बजे के बाद डलास फोर्ट वर्थ से बोस्टन के लिए प्रस्थान करने वाली उड़ानों की उड़ानें और प्रस्थान समय की सूची बनाएं EOS\t	O O O O B-flight_time I-flight_time O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS बीवीआई वाशिंगटन है EOS\t	O B-airport_code B-city_name atis_city
BOS मुझे मिल्वौकी और ऑरलैंडो के बीच सभी दैनिक उड़ानें दिखाओ EOS\t	O O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मैं डलास फोर्ट वर्थ में स्टॉपओवर के साथ सैन फ्रांसिस्को से बोस्टन के लिए उड़ान भरना चाहता हूं और मैं डेल्टा एयरलाइंस से उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name O O O O O O B-airline_name I-airline_name atis_flight
BOS मुझे अटलांटा से बाल्टीमोर तक की उड़ानें दिखाओ EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS पिट्सबर्ग से अटलांटा के लिए एक तरफ की सबसे सस्ती उड़ान कौन सी है? EOS\t	O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_flight
BOS कार्यदिवसों में डेनवर से वेस्टचेस्टर काउंटी न्यूयॉर्क के लिए उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-toloc.city_name I-toloc.city_name B-flight_mod atis_flight
BOS कृपया मुझे अटलांटा से वाशिंगटन तक की उड़ानें दिखाएँ EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O atis_flight
BOS क्या बोस्टन से सैन फ्रांसिस्को के लिए कोई उड़ानें हैं जो वाशिंगटन डीसी में रुकती हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name B-stoploc.state_code atis_flight
BOS अटलांटा से सैन फ्रांसिस्को तक सभी नॉनस्टॉप उड़ानें दिखाएं EOS\t	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS मैं फ़िलाडेल्फ़िया में रुकते हुए बोस्टन से डेनवर तक उड़ान भरना चाहता हूँ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS वे उड़ानें दिखाएँ जो फ़िलाडेल्फ़िया से रवाना होती हैं और अटलांटा जाती हैं जो गुरुवार की सुबह जल्दी रवाना होती हैं EOS\t	O O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-depart_time.period_mod O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS न्यूआर्क से क्लीवलैंड के लिए प्रतिदिन उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name B-flight_days atis_flight
BOS मुझे बाल्टीमोर से डलास तक जाने वाली उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया बोस्टन से सैन फ्रांसिस्को के लिए सुबह 10 बजे से पहले छूटने वाली सभी उड़ानों की सूची बनाएं EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS कृपया नेवार्क से बोस्टन तक उड़ान का समय सूचीबद्ध करें EOS\t	O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS क्या आप कृपया मुझे अगले सप्ताह के बुधवार को पिट्सबर्ग से बोस्टन के लिए दोपहर से पहले आने वाली उड़ानें दिखा सकते हैं EOS\t	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.date_relative O O O B-arrive_time.time_relative B-arrive_time.time atis_flight
BOS मुझे अटलांटा से सैन फ्रांसिस्को के लिए सभी उड़ानें दिखाओ जो कल शाम 5 बजे के बाद अटलांटा से रवाना होंगी EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time B-depart_date.today_relative atis_flight
BOS सात नवंबर को सैन फ्रांसिस्को से ओकलैंड तक एक तरफ जाने का किराया क्या है? EOS\t	O O O O O B-depart_date.month_name B-depart_date.day_number O B-round_trip I-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS मुझे बाल्टीमोर से डलास तक की उड़ान के बारे में सारी जानकारी दिखाएँ जो डीएल 1055 डीएल 405 सूचीबद्ध है EOS\t	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-airline_code B-flight_number B-airline_code B-flight_number atis_flight
BOS मुझे 3 अगस्त को डलास से बाल्टीमोर के लिए उपलब्ध उड़ानें दिखाओ EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.month_name B-depart_date.day_number atis_flight
BOS पिट्सबर्ग से अटलांटा कृपया फोर्ट वर्थ में रुकें EOS\t	B-fromloc.city_name O B-toloc.city_name O O O O O B-stoploc.city_name I-stoploc.city_name atis_flight
BOS अटलांटा से बोस्टन के लिए अंतिम उड़ान कौन सी है? EOS\t	O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया पिट्सबर्ग और बाल्टीमोर के बीच सभी संयुक्त उड़ानों की सूची बनाएं EOS\t	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_flight
